,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
56665,028906,P,01,LU,79659.0,29972.0,1994-01-31,2003-09-30
56667,028907,P,01,LU,79615.0,12425.0,1993-09-23,2001-06-29
56671,028909,P,01,LC,79589.0,12428.0,1993-09-23,1997-08-29
56673,028910,P,01,LU,79624.0,12421.0,1993-09-23,1998-11-30
56675,028911,P,01,LU,79665.0,29981.0,1993-09-23,
56678,028913,P,90,LU,80675.0,30415.0,1994-06-29,2000-10-31
56680,028914,P,01,LU,79582.0,12430.0,1993-09-24,1999-06-30
56683,028915,C,01,LU,79590.0,12433.0,1993-09-24,1995-05-23
56686,028916,C,01,LU,79595.0,12434.0,1993-09-24,2003-03-25
56689,028917,P,01,LC,79607.0,12429.0,1993-09-24,2009-03-02
56692,028918,P,01,LU,79622.0,12432.0,1993-09-24,1999-03-10
56693,028919,C,00X,LC,79660.0,29973.0,1994-01-01,1994-01-30
56694,028919,P,01,LC,79660.0,29973.0,1994-01-31,2017-06-30
56696,028920,P,01,LU,10481.0,8400.0,1986-07-16,1994-09-30
56699,028921,P,01,LC,79470.0,12329.0,1993-08-05,1996-04-29
56703,028923,C,00X,LU,79626.0,12386.0,1993-09-01,1993-09-29
56704,028923,C,01,LU,79626.0,12386.0,1993-09-30,1994-12-31
56706,028924,P,01,LU,79667.0,29955.0,1993-09-28,2019-08-30
56708,028925,P,01,LU,79569.0,12436.0,1993-09-28,1995-05-31
56710,028926,P,01,LU,79576.0,12435.0,1993-09-28,1996-05-31
56714,028930,P,01,LC,79764.0,30005.0,1993-10-12,1998-04-30
56717,028930,P,02,LC,85913.0,30005.0,1998-05-01,
56721,028933,C,01,LC,79591.0,12438.0,1993-09-29,2005-07-29
56723,028934,P,01,LU,79583.0,12443.0,1993-09-29,1998-10-30
